location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Arumbakkam,2,2,855,775,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,East,7756353
Anna Nagar,1,1,600,940,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,North,2780625
Perambur,2,2,615,663,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,3285877
New Perungalathur,2,1,1200,713,Individual,Resale,0 to 5 years,Builder Floors,0,Semi-Furnished,Ready to Move,East,4455652
Purasawalkam,2,2,950,1536,Individual,Resale,5 to 10 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,6126476
Mylapore,2,2,600,480,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3184335
Kavankarai,3,2,1200,960,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,6278341
Kolathur,2,2,950,813,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5655489
Ayanambakkam,2,2,813,800,Individual,Resale,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,4527142
Madipakkam,2,2,770,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,4251995
Kolathur,1,1,480,389,Individual,Resale,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,2756755
West Mambalam,2,2,935,2834,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Upcoming,East,20881268
Ambattur,2,2,950,834,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,5487877
Madipakkam,2,2,850,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,4952079
Chrompet,2,2,1050,805,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,4805232
Madipakkam,2,2,812,592,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,3826546
Urapakkam,1,1,450,424,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,2237397
Patravakam,2,2,700,560,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,South,5310971
Sembakkam,3,3,1155,924,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,7070086
Tambaram,2,2,894,825,Individual,Resale,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5749604
Ambattur,2,2,820,667,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,4790783
Guduvancheri,3,3,1150,978,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,East,6938830
Velachery,2,2,1130,925,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,North,5079928
Alwarthirunagar,3,2,1265,1012,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,11338633
Guduvancheri,2,2,806,785,Individual,New,Under Construction,Builder Floors,2,Semi-Furnished,Under Construction,West,4243184
Maraimalai Nagar,2,2,1400,838,Individual,New,0 to 5 years,Builder Floors,0,Unfurnished,Under Construction,West,11598762
Medavakkam,2,2,804,712,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,West,4253934
Madipakkam,1,1,531,528,Individual,Resale,5 to 10 years,Builder Floors,1,Furnished,Ready to Move,North East,2755973
Villivakkam,1,1,800,550,Individual,Resale,Type,Builder Floors,1,Furnished,Ready to Move,North,9693741
Chitlapakkam,2,2,850,653,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5613714
Valasaravakkam,2,2,950,2594,Individual,Resale,10 to 15 years,Builder Floors,2,Unfurnished,Ready to Move,North,5600109
Porur,3,3,1247,1133,Individual,Resale,10 to 15 years,Builder Floors,3,Unfurnished,Ready to Move,North,9168174
Urapakkam,2,2,977,640,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,4620877
Rajakilpakkam,2,2,670,405,Individual,Resale,Under Construction,Builder Floors,2,Unfurnished,Under Construction,East,4427289
Anna Nagar West,2,2,950,655,Individual,Resale,Above 20 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,6438888
Mandavelli,1,1,641,285,Individual,Resale,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,3540189
Madhavaram,1,1,700,700,Individual,New,10 to 15 years,Builder Floors,1,Unfurnished,Ready to Move,East,2816026
T Nagar,2,2,700,1692,Individual,Resale,5 to 10 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,3866815
T Nagar,2,2,600,1692,Individual,Resale,10 to 15 years,Builder Floors,2,Semi-Furnished,Ready to Move,North,3153408
Madipakkam,2,2,960,592,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,South,6833429
Mudichur,3,2,1500,1200,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,South,10416053
Perubakkam,2,2,956,790,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5334882
Pallikaranai,2,2,1319,885,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,7345254
Adambakkam,2,2,756,750,Individual,Resale,15 to 20 years,Builder Floors,1,Unfurnished,Ready to Move,East,4184930
Porur,2,2,727,646,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,4348799
Medavakkam,2,2,931,890,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,4574503
Ambattur,2,2,914,834,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,North,5898908
Urapakkam,3,3,1370,950,Builder,New,Under Construction,Builder Floors,7,Unfurnished,Under Construction,South East,11335850
Thoraipakkam,2,2,912,780,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6372449
Medavakkam,2,2,965,890,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6374500
T Nagar,3,3,1701,950,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,17336670
Ambattur,2,2,21000,834,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,54695491
T Nagar,3,3,1400,1200,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,8561991
Keelkattalai,2,2,840,1135,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,North,5299331
Maduravayol,2,2,1060,800,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,7632119
Tambaram,2,2,900,825,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5350143
Aminjikarai,3,1,1000,800,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,South,7995227
East Coast Road,1,1,550,550,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,South,2542575
Adambakkam,3,2,1272,1040,Individual,Resale,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,East,17427349
Ayanavaram,2,2,600,600,Individual,Resale,Above 20 years,Builder Floors,1,Unfurnished,Ready to Move,South,2791515
Pallavaram,2,2,700,576,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3495521
Perambur,4,6,1200,1000,Individual,Resale,15 to 20 years,Builder Floors,2,Furnished,Ready to Move,North,14007993
Anbattur,2,2,655,524,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3017837
Alwarthiru Nagar,3,2,1300,850,Individual,Resale,10 to 15 years,Builder Floors,1,Unfurnished,Ready to Move,West,13857241
Singaperumal Koil,2,2,1665,750,Individual,New,5 to 10 years,Builder Floors,1,Unfurnished,Ready to Move,South,23695927
T Nagar,1,1,500,125,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,North,4166639
Porur,2,2,705,646,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3549562
T Nagar,3,2,1800,9900,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,18181668
Sithalapakkam,2,2,694,600,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,4184242
Medavakkam,2,2,1137,890,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,6525981
Oragadam,3,3,1110,1349,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6508998
Avadi,2,2,1400,500,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,8159465
Perubakkam,2,2,3381,988,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,20005326
Maduravayol,2,2,730,640,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,3585763
Kilpauk,3,3,963,1049,Individual,Resale,Under Construction,Builder Floors,2,Furnished,Under Construction,North,7332212
Adyar,3,3,1962,2450,Builder,New,New Construction,Builder Floors,4,Unfurnished,Ready to Move,North,20106783
Velachery,2,2,1150,925,Builder,New,Under Construction,Builder Floors,2,Unfurnished,Under Construction,East,5732304
Mangadu,2,2,633,530,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,North East,4201036
Urapakkam,1,1,505,450,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,South,2657543
Urapakkam,1,1,462,399,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,2810464
Poonamale Highway,2,2,652,19898,Individual,Resale,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,3595234
Anna Nagar,3,3,3000,1175,Individual,Resale,5 to 10 years,Builder Floors,2,Furnished,Ready to Move,North,41073426
Kolathur,2,2,1200,833,Individual,Resale,15 to 20 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,7659158
Urapakkam,2,2,2475,640,Individual,New,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,17459251
Ayanambakkam,2,2,810,800,Individual,Resale,New Construction,Builder Floors,2,Unfurnished,Ready to Move,North,4535142
P H Road,2,2,1120,930,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5599183
Omr,3,2,1275,1041,Builder,New,Under Construction,Builder Floors,2,Unfurnished,Ready to Move,North,8858391
Triplicane,2,2,825,525,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,4237350
Omr,2,2,1012,81500,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,7968308
Urapakkam,2,2,680,640,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,3970066
Tambaram Mudichur Road,3,2,1170,828,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,7549397
Medavakkam,2,2,890,890,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,4721276
Nolambur,3,3,1372,1285,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,West,11535949
Madipakkam,2,2,1111,592,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,West,6500962
Ambattur,2,2,877,834,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5905081
Ayanavaram,2,1,611,328,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,West,3674371
Nanganallur,2,2,980,613,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,North,5618176
Madipakkam,2,2,741,560,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,East,4307594
A Nagar,3,2,1280,1024,Individual,New,New Construction,Builder Floors,0,Unfurnished,Ready to Move,East,16014008
Muglivakkam,2,2,956,100,Individual,New,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,South,8258375
Chrompet,2,2,860,805,Agent,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5926795
Saidapet,2,2,1200,733,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,7439494
Thirumalai Nagar,2,2,1640,1312,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,15336033
Adyar,3,3,3300,3062,Builder,New,New Construction,Builder Floors,4,Unfurnished,Ready to Move,North,88801102
Tambaram,2,2,1100,825,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5008555
Villivakkam,2,2,500,400,Builder,Resale,Type,Builder Floors,1,Furnished,Ready to Move,North,3084845
Mahindra City,3,2,150,150,Agent,New,10 to 15 years,Builder Floors,1,Semi-Furnished,Under Construction,North West,2907563
Ambattur,2,2,956,834,Individual,Resale,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5347026
Pallikaranai,2,2,1100,900,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,5796215
Valasaravakkam,2,2,726,2594,Builder,Resale,10 to 15 years,Builder Floors,2,Unfurnished,Ready to Move,North,4711793
Villivakkam,2,2,4800,550,Individual,Resale,Type,Builder Floors,1,Furnished,Ready to Move,North,26513010
K Nagar,2,2,1080,740,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5670393
Maraimalainagar,3,2,1150,1125,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,6306668
Anakaputhur,1,1,1200,690,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,10288755
Perungudi,2,2,980,710,Agent,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,5759982
Kodambakkam Rangarajapuram,3,3,1100,880,Individual,New,New Construction,Builder Floors,0,Unfurnished,Ready to Move,East,8414260
K Nagar,2,2,1078,740,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5698377
neelankarai,4,4,3000,1400,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,32826732
Porur,2,2,966,646,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,6359866
Porur,2,2,923,646,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5569194
Pooncheri,2,2,600,2869,Individual,New,New Construction,Builder Floors,2,Furnished,Ready to Move,North,2308555
Thalambur,6,4,4000,828,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,88077052
Kadambattur,2,2,174240,139392,Individual,New,Under Construction,Builder Floors,2,Semi-Furnished,Under Construction,North,203675722
Sriperumbudur,2,2,8045,640,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,30515499
Red Hills,1,1,1500,621,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,15673535
Poonamale High Road,2,2,8400,805,Individual,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,East,22686956
MGR Nagar,2,2,750,500,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3973507
Oragadam,3,2,2400,880,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,South,23284714
East Coast Road,4,4,10500,1153,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,31078119
Manapakkam,1,1,355,871,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,West,2269722
Sriperumbudur,2,2,239580,595,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South,529728405
Anakaputhur,1,2,600,480,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,3004754
Alwarpet,2,2,1500,392,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,16771412
Valasaravakkam,2,2,860,2135,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,North,5386098
Arakonam,2,2,1200,1100,Individual,Resale,5 to 10 years,Builder Floors,1,Unfurnished,Ready to Move,West,7221370
Sriperumbudur,2,2,7000,330,Individual,New,10 to 15 years,Builder Floors,2,Furnished,Ready to Move,North,30731644
Nanmangalam,2,2,1185,800,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,7251468
Marakkanam,2,2,261360,81500,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,203538720
Medavakkam,2,2,1200,1020,Individual,New,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5955231
Porur,2,2,845,780,Individual,New,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,West,5369267
Ramapuram,2,2,1238,627,Builder,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,34045595
Kattupakkam,2,2,812,1000,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,4151671
Mahabalipuram,2,3,10000,8000,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,43474011
Oragadam,1,2,450,864,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,West,2146265
T Nagar,4,5,2605,2084,Individual,New,0 to 5 years,Farm House,4,Semi-Furnished,Ready to Move,South East,30513867
Kodambakkam,4,3,2255,1200,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,13044973
Avadi,2,2,700,600,Agent,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,3523988
East Coast Road,3,3,2184,640,Individual,Resale,Above 20 years,House & Villas,0,Unfurnished,Under Construction,East,13973270
Anna Nagar,6,6,9000,1200,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,North,95902508
Porur,2,3,900,1582,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4849068
Avadi,3,2,860,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,North East,5186323
Padapai,2,1,675,540,Builder,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,North,3016962
Mettupalayam,2,1,600,639,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,2089542
neelankarai,7,7,4300,1200,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,38488355
Singaperumal Koil,1,1,438,900,Builder,New,0 to 5 years,House & Villas,1,Semi-Furnished,Under Construction,North,1612040
Porur,2,3,900,2388,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,4389390
Avadi Ks Nagar,3,2,1150,480,Builder,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,9067819
Padapai,1,1,520,4200,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,1926253
Kolathur,3,3,2200,670,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,North,12015317
Kovur,2,2,750,985,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,3694867
Porur,2,2,1000,800,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North East,5205906
Thiruvanmiyur,4,4,2600,430,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,26033407
Pallavaram,2,2,750,4500,Individual,Resale,Above 20 years,House & Villas,1,Unfurnished,Ready to Move,North,3197631
Porur,3,3,1400,680,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,7007822
Porur,2,2,750,814,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,3838267
Avadi,4,4,1200,572,Builder,New,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,11152104
Avadi,4,3,1200,430,Individual,New,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,10395136
Kovur,2,2,650,480,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North West,3416830
Avadi,2,2,645,1100,Individual,New,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,3034521
Avadi,1,2,645,800,Individual,New,0 to 5 years,House & Villas,-1,Semi-Furnished,Upcoming,East,13926578
Porur,2,2,850,660,Builder,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,South East,5028080
Guduvancheri,5,5,2500,800,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,24194688
Anna Nagar,2,2,800,2575,Individual,Resale,New Construction,House & Villas,0,Furnished,Ready to Move,East,3561234
Chengalpattu,3,3,1816,1200,Agent,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,17120693
Thiruninravur,3,3,1600,999,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,North,11693405
Pallavaram,3,3,1685,1300,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,29692039
Sembakkam,2,2,1600,1000,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,10383030
East Coast Road,5,6,5071,150,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,East,64114805
Kelambakkam,3,4,2500,700,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South,24346268
